cp,prob,branch,is_pv,puzzle_id
15,0.5464942455291748,1,True,05FjS
-1363,0.3530701994895935,2,False,05FjS
30,0.5728954672813416,1,True,08BnT
-1060,0.3421112895011902,2,False,08BnT
0,0.481805682182312,1,True,09WQ2
-2,0.3749047517776489,1,True,0hgJT
-477,0.3736875057220459,2,False,0hgJT
0,0.3734119236469269,2,True,0i1wa
0,0.5512388944625854,1,True,0r3GQ
-8,0.5148255825042725,1,True,0uAkj
-677,0.33481118083000183,2,False,0uAkj
-4,0.5434697866439819,1,True,0wSGo
-734,0.3660319149494171,2,False,0wSGo
0,0.4911378026008606,1,True,125Zx
-1340,0.5291149020195007,1,False,12Uzd
12,0.3198028802871704,2,True,12Uzd
9,0.4966791570186615,1,True,17R9B
-793,0.35479649901390076,2,False,17R9B
85,0.3690735101699829,1,True,19nMg
-1188,0.30868202447891235,2,False,19nMg
-2,0.5561668872833252,1,True,1EJqL
-776,0.38452327251434326,2,False,1EJqL
17,0.5181899666786194,1,True,1GmSl
-1013,0.31813573837280273,2,False,1GmSl
-962,0.5415582656860352,1,False,1ITwL
27,0.3607940077781677,2,True,1ITwL
-6,0.4595901668071747,1,True,1MXpu
-637,0.4106284976005554,2,False,1MXpu
-849,0.3375260531902313,1,False,1NXq4
-7,0.31558558344841003,2,True,1NXq4
-579,0.6053014993667603,1,False,1RsNk
37,0.33291903138160706,2,True,1RsNk
-527,0.435553640127182,1,False,1VY6P
45,0.35969048738479614,2,True,1VY6P
-17,0.5272796154022217,1,True,1b82B
-681,0.36862993240356445,2,False,1b82B
131,0.5401535034179688,1,True,1bnKr
-662,0.3717972934246063,2,False,1bnKr
16,0.5278119444847107,1,True,1rJqi
-700,0.40200820565223694,2,False,1rJqi
-632,0.3392634689807892,1,False,1zJDp
15,0.30147477984428406,2,True,1zJDp
-471,0.4845424294471741,1,False,26Er4
-6,0.45694032311439514,2,True,26Er4
-16,0.4328438937664032,1,True,26m0r
-969,0.4229724407196045,2,False,26m0r
0,0.3645540177822113,2,True,2GS8v
-5,0.5213490724563599,1,True,2JetC
-978,0.37743544578552246,2,False,2JetC
76,0.421903133392334,1,True,2RGCG
-1606,0.33292070031166077,2,False,2RGCG
8,0.5257988572120667,1,True,2YYhU
-971,0.3470340371131897,2,False,2YYhU
0,0.30571243166923523,2,True,2ci7x
-1042,0.46902674436569214,1,False,2dtzs
19,0.4260234832763672,2,True,2dtzs
46,0.3950020372867584,1,True,2lt5d
-1190,0.330570250749588,2,False,2lt5d
-1255,0.48479366302490234,1,False,2sjk9
57,0.3182714581489563,2,True,2sjk9
69,0.5999732613563538,1,True,2vNDY
-811,0.3001731038093567,2,False,2vNDY
0,0.45656508207321167,1,True,369is
0,0.4150716960430145,1,True,39TvU
-729,0.4125969409942627,1,False,3H4bp
28,0.35765883326530457,2,True,3H4bp
-40,0.4926217794418335,1,True,3JrDW
-759,0.34790968894958496,2,False,3JrDW
0,0.5111452341079712,1,True,3RPpF
-816,0.4312368929386139,1,False,3SuZT
-3,0.41380420327186584,2,True,3SuZT
-605,0.45116984844207764,1,False,3WzcL
-59,0.41149818897247314,2,True,3WzcL
-1009,0.43045365810394287,1,False,3XZr3
293,0.300281822681427,2,True,3XZr3
0,0.4513341784477234,1,True,3ebbA
0,0.4135904908180237,2,True,3fv3v
-849,0.5575438737869263,1,False,3mLih
823,0.30185580253601074,2,True,3mLih
0,0.4951418936252594,1,True,3pqiX
0,0.3810350298881531,1,True,3r1R7
0,0.45160284638404846,1,True,3tP2s
-761,0.4006650149822235,2,False,3tP2s
0,0.3012060523033142,2,True,4KgD0
31,0.5394282937049866,1,True,4NRRV
-1431,0.3668273985385895,2,False,4NRRV
-3,0.4876844882965088,1,True,4TYxx
-1197,0.41832420229911804,2,False,4TYxx
0,0.3582057058811188,2,True,4fKWf
-859,0.4720415472984314,1,False,4gMZP
2,0.4510410726070404,2,True,4gMZP
35,0.38607320189476013,1,True,4hq8c
-526,0.330436110496521,2,False,4hq8c
-688,0.5312464237213135,1,False,4uiLl
28,0.38877150416374207,2,True,4uiLl
0,0.4417687952518463,1,True,4utBr
0,0.4991416931152344,1,True,52IFv
0,0.4518105685710907,1,True,57RVu
-490,0.3752480149269104,2,False,57RVu
36,0.6266805529594421,1,True,5MHT9
-671,0.3034615218639374,2,False,5MHT9
4,0.4363930821418762,1,True,5cyfb
-674,0.39693477749824524,2,False,5cyfb
-631,0.4734967052936554,1,False,5fKEt
18,0.4256473481655121,2,True,5fKEt
-897,0.5099310874938965,1,False,5mo6P
9,0.3262597620487213,2,True,5mo6P
0,0.6286687254905701,1,True,5nMGA
88,0.3506237864494324,1,True,5s6Pm
-685,0.3083910048007965,2,False,5s6Pm
29,0.5154778957366943,1,True,5uv62
-986,0.41574856638908386,2,False,5uv62
-1000,0.45392945408821106,1,False,5xKo4
23,0.34158486127853394,2,True,5xKo4
0,0.645106315612793,1,True,60n7n
0,0.3758332431316376,2,True,646Q7
0,0.46026185154914856,1,True,661t3
-454,0.45047715306282043,1,False,66vRZ
32,0.357951819896698,2,True,66vRZ
0,0.3600989580154419,2,True,73zV5
0,0.40725693106651306,2,True,7GoSX
-731,0.3374272286891937,1,False,7PsOg
1,0.3177744448184967,2,True,7PsOg
0,0.3584097623825073,1,True,7UzxF
-33,0.49490615725517273,1,True,7ZLhs
-1422,0.33573660254478455,2,False,7ZLhs
21,0.4311794936656952,1,True,7g822
-1139,0.3739207684993744,2,False,7g822
0,0.33821773529052734,2,True,7kJGg
0,0.5491791367530823,1,True,7pd1z
0,0.455334335565567,1,True,8I4mT
4,0.49823272228240967,1,True,8bBKJ
-532,0.3666612505912781,2,False,8bBKJ
-26,0.5051407814025879,1,True,8gVCz
-742,0.42570751905441284,2,False,8gVCz
-1,0.5099136233329773,1,True,8sGUt
-671,0.3505294620990753,2,False,8sGUt
51,0.45929232239723206,1,True,94W88
-389,0.37261781096458435,2,False,94W88
0,0.4253845512866974,1,True,97Mln
0,0.4689967930316925,2,True,9NhWq
0,0.3432799279689789,2,True,9S2zl
33,0.3821703791618347,1,True,9S4OL
-826,0.35633859038352966,2,False,9S4OL
0,0.4082443416118622,1,True,9VjjX
-20,0.6509761810302734,1,True,9YCuo
-689,0.3083606958389282,2,False,9YCuo
89,0.5115501284599304,1,True,9ZbVL
-948,0.38081255555152893,2,False,9ZbVL
-694,0.4105796217918396,1,False,9eXb0
0,0.3119555413722992,2,True,9eXb0
0,0.3279555141925812,2,True,9pYJh
-28,0.46550655364990234,1,True,9rqNx
-667,0.33792540431022644,2,False,9rqNx
-488,0.45844048261642456,1,False,A4R2I
-16,0.300622820854187,2,True,A4R2I
97,0.5345492362976074,1,True,A9hrn
-5590,0.3413430154323578,2,False,A9hrn
0,0.6081593632698059,1,True,AGno3
0,0.36569467186927795,2,True,AIHS2
1,0.34446612000465393,1,True,AUdca
-689,0.32998546957969666,2,False,AUdca
0,0.3623999357223511,2,True,AaoHf
0,0.5224771499633789,1,True,Aj2b2
